id,name,brand,categories,primaryCategories,reviews.doRecommend,reviews.rating,reviews.text,reviews.title
16,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Fit,"4.0 out of 5 stars
Fit"
17,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,The product was very good. It's specific for runners.,"4.0 out of 5 stars
Comfort and Suitable"
18,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Value for money , comfortable","4.0 out of 5 stars
Value for money"
19,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Actually the nice I ever buy through online shopping....built quality was super good,"4.0 out of 5 stars
Quality and colour was good"
20,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Good Quality but when I ordered 8UK size I received 7 UK so I exchanged it with 9 UK it is a nice fit for me,"4.0 out of 5 stars
Size"
21,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Finishing can be improved,"4.0 out of 5 stars
Finishing"
22,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Good,"4.0 out of 5 stars
quality"
23,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Good item and quality,"4.0 out of 5 stars
Good quality"
24,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Good Product,"4.0 out of 5 stars
Mangesh"
25,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Quality nd size also correct fit gud the comfort was awesome,"4.0 out of 5 stars
Quality is awesome"
26,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Nearly 1.5 years I am use there will be no issue you can buy,"4.0 out of 5 stars
Worth it"
27,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Good item,"4.0 out of 5 stars
Light weight"
28,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"ASIAN Men's Wonder-13 Sports Running Shoes ReviewThe ASIAN Men's Wonder-13 Sports Running Shoes are a popular choice for those seeking an affordable yet reliable pair of running shoes. Here's an in-depth look at their performance and features:Design and BuildThe Wonder-13 shoes boast a modern and sporty design, making them suitable for both casual wear and athletic activities. The vibrant color options and sleek finish enhance their aesthetic appeal. Despite being lightweight, the shoes feel sturdy and well-constructed.Comfort and FitThese shoes provide a snug fit with a cushioned insole that offers excellent comfort. The soft inner lining prevents irritation, even during extended wear. The shoes have good arch support, making them suitable for runners and those who spend long hours on their feet.PerformanceThe Wonder-13 shoes excel in terms of grip and stability. The outsole features a durable, anti-slip pattern that provides excellent traction on various surfaces, from pavements to grassy fields. They are particularly well-suited for running, walking, and light gym workouts. The breathable mesh upper keeps feet cool and dry, even during intense activities.DurabilityFor their price, the durability of these shoes is commendable. The materials hold up well against daily wear and tear. However, they may show signs of wear faster if used extensively on rugged terrain.Value for MoneyOne of the strongest points of the ASIAN Wonder-13 shoes is their affordability. They offer great features and performance at a budget-friendly price, making them an excellent option for students, beginners, or anyone looking for value without compromising on quality.Pros:Lightweight and comfortable designExcellent grip and tractionBreathable mesh upper for ventilationAffordable and budget-friendlyStylish and versatile appearanceCons:Limited durability for rigorous use on rough terrainsCushioning may not be sufficient for heavy-duty running or long-distance marathonsVerdictThe ASIAN Men's Wonder-13 Sports Running Shoes deliver solid performance for everyday activities, light workouts, and casual sports. They strike a perfect balance between style, comfort, and affordability, making them a great option for budget-conscious buyers. However, for more intensive athletic needs, you may want to invest in a higher-end alternative.","4.0 out of 5 stars
ASIAN Men's Wonder-13 Sports Running Shoes is very lite weighted and also we'll for running."
29,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Pretty damn good shoes.Solid fit. Been wearing them for daily use, tough bastards still look the same after a wash.Needs a little more craftiness. Like the shoes tongue seems uneven in side of right shoe.Otherwise pretty durable.","4.0 out of 5 stars
Good for daily wear"
30,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,good for the cost. fits well as mentioned in size format,"4.0 out of 5 stars
Good"
31,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Good product quality.,"4.0 out of 5 stars
Awesome material"
32,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Cheapest and good 😊,"4.0 out of 5 stars
Value for money"
33,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Adjustable piece not seat in middle. Quality Good,"4.0 out of 5 stars
Good product."
34,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,MSt h white color go for it company thoda improve kr  skty h quality...But quality is more thab enough,"4.0 out of 5 stars
Must buy value for money"
35,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Shoes was good but packaging wasn't,"4.0 out of 5 stars
Packaging"
36,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,good for price,"4.0 out of 5 stars
worth it"
37,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Shoes quickly is good but packing was poor,"3.0 out of 5 stars
Bad Packaging"
38,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Worth buying,"4.0 out of 5 stars
Worth buying"
39,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Dost k liya tha bola acha toh maan liya aap maano apki Marzi price dekh lena,"4.0 out of 5 stars
Mere nhi hai"
40,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Worth for money,"4.0 out of 5 stars
Worth for money"
41,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Good product but compramise with the soft sole,"4.0 out of 5 stars
Average product"
42,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Very good running shoes.  I like it pretty and stylish,"4.0 out of 5 stars
asian Good shoes"
43,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Good to buy this product for this price,"4.0 out of 5 stars
Good"
44,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Shoes quality is average in this price getting heated and smell also,"3.0 out of 5 stars
Shoes review"
45,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"The shoes overall looks are fine,,but it wears off easily,,","4.0 out of 5 stars
Ok product"
46,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Minimum 6 months use, I used it run 1hr Daily on road. Inner sole poor quality. Worth price 500-600 rs it is ok to use.","4.0 out of 5 stars
Quality"
47,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Very good quality,"4.0 out of 5 stars
Very nice shose"
48,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,"Good size, comfortable good product","4.0 out of 5 stars
Good Product"
49,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"I receive but not use this yet, but it's lite weight and affordable. Thanks","4.0 out of 5 stars
Middle quality."
50,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,यह जूता बहुत अच्छा है,"4.0 out of 5 stars
जूता लाइटवेट है"
51,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,Shoe didnot fit on exact size .,"3.0 out of 5 stars
Not recommended"
52,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,The product is good but I got the packaging with only shoe box with taped paper pouch which has the bill and bill was also not printed well.,"4.0 out of 5 stars
Product is good but packaging is not"
53,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Nice,"4.0 out of 5 stars
Nice"
54,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Awesome quality fitting is perfectly,"4.0 out of 5 stars
Very good product"
55,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"The shoes are lightweight, which is great for casual use. However, the quality is just okay—nothing exceptional, but reasonable for the price of ₹599. Don't expect too much durability or premium feel. Overall, they serve the purpose if you're looking for budget-friendly footwear.","4.0 out of 5 stars
Decent for the Price"
56,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Value for money, nice product and fit to wear","4.0 out of 5 stars
Good"
57,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Nice product.,"4.0 out of 5 stars
Good"
58,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Looks neat and no pinching,"4.0 out of 5 stars
Good item for the price"
59,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Bahut hi acha hai.... fitting hai, no. 9 mangaye the .... comfort hai, halka hai..color v thik hak hai...daily use kar sakte hai....","5.0 out of 5 stars
Good, comfort, halka, aqurate size mila"
60,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Really purchase it,"3.0 out of 5 stars
Nice shoes"
61,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.9,"Good quality size , performance","4.0 out of 5 stars
Good product"
62,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,5.0,Super,"4.0 out of 5 stars
Good product"
63,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,"Pure average shoes, I bought this for workout purpose but when it delivered and when I tried it, the inner foam is not at all comfortable.","3.0 out of 5 stars
Average shoes."
64,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Nice products,"4.0 out of 5 stars
A good product"
65,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,"Best quality shoes original brand tag and lowest price, standard sizes very good product this range","4.0 out of 5 stars
Best quality lowest price"
66,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Stitching is not good,"3.0 out of 5 stars
Stitching is not good"
67,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Best shoe for photoshooting👍,"3.0 out of 5 stars
Best"
68,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,True,4.0,Very good product.i have been using it for over 3years and they still are in Good condition,"5.0 out of 5 stars
Very durable"
69,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Running propose 👟Quality looks as per rate,"4.0 out of 5 stars
Normal shoes and rate is so normal"
70,ASIAN Wonder 13 Sports Running Shoes,Amazon,Product,Product,False,3.0,Good shoes at amazing quality and reasonable price,"5.0 out of 5 stars
Looks good"
